time_period,loc_from,loc_to,mode,distance_km,shipping_cost_usd_per_kg,notes
0,AU,AU,domestic/co-located,0,0.0,"Structural domestic/co-located accounting pair; zero distance and zero shipping cost, not empirical freight data."
0,AU,CA,ocean,12000,0.0557,REE baseline reused for shared country pair (High confidence); route AU->CA; distance/cost retained for framework consistency. Sources: CEPII_GeoDist=https://www.cepii.fr/CEPII/en/publications/wp/abstract.asp?NoDoc=3877; SEA_DISTANCES=https://sea-distances.org/; UNCTAD_RMT_2025=https://unctad.org/publication/review-maritime-transport-2025; COST_LIT_MDPI_2022=https://www.mdpi.com/2071-1050/14/7/3987; MODE_CHOICE_LIT=https://link.springer.com/article/10.1186/s12544-019-0346-8
0,AU,CN,ocean,6400,0.0343,REE baseline reused for shared country pair (High confidence); route AU->CN; distance/cost retained for framework consistency. Sources: CEPII_GeoDist=https://www.cepii.fr/CEPII/en/publications/wp/abstract.asp?NoDoc=3877; SEA_DISTANCES=https://sea-distances.org/; UNCTAD_RMT_2025=https://unctad.org/publication/review-maritime-transport-2025; COST_LIT_MDPI_2022=https://www.mdpi.com/2071-1050/14/7/3987; MODE_CHOICE_LIT=https://link.springer.com/article/10.1186/s12544-019-0346-8
0,AU,JP,ocean,7900,0.0403,REE baseline reused for shared country pair (Medium confidence); route AU->JP; distance/cost retained for framework consistency. Sources: CEPII_GeoDist=https://www.cepii.fr/CEPII/en/publications/wp/abstract.asp?NoDoc=3877; SEA_DISTANCES=https://sea-distances.org/; UNCTAD_RMT_2025=https://unctad.org/publication/review-maritime-transport-2025; COST_LIT_MDPI_2022=https://www.mdpi.com/2071-1050/14/7/3987; MODE_CHOICE_LIT=https://link.springer.com/article/10.1186/s12544-019-0346-8
0,AU,KR,ocean,8300,0.0418,"Ga-specific estimate (Medium confidence; Fremantle/Kwinana-WA to Busan proxy.). Cost is model-use estimate, not a spot freight quote; ocean unit cost calibrated to REE shipping_costs baseline and cross-checked against peer-reviewed modal cost literature. Sources: CEPII_GeoDist=https://www.cepii.fr/CEPII/en/publications/wp/abstract.asp?NoDoc=3877; SEA_DISTANCES=https://sea-distances.org/; UNCTAD_RMT_2025=https://unctad.org/publication/review-maritime-transport-2025; COST_LIT_MDPI_2022=https://www.mdpi.com/2071-1050/14/7/3987; MODE_CHOICE_LIT=https://link.springer.com/article/10.1186/s12544-019-0346-8"
0,AU,US,ocean,12450,0.0528,REE baseline reused for shared country pair (High confidence); route AU->US; distance/cost retained for framework consistency. Sources: CEPII_GeoDist=https://www.cepii.fr/CEPII/en/publications/wp/abstract.asp?NoDoc=3877; SEA_DISTANCES=https://sea-distances.org/; UNCTAD_RMT_2025=https://unctad.org/publication/review-maritime-transport-2025; COST_LIT_MDPI_2022=https://www.mdpi.com/2071-1050/14/7/3987; MODE_CHOICE_LIT=https://link.springer.com/article/10.1186/s12544-019-0346-8
0,CA,CA,domestic/co-located,0,0.0,"Structural domestic/co-located accounting pair; zero distance and zero shipping cost, not empirical freight data."
0,CA,CN,ocean,9200,0.0424,REE baseline reused for shared country pair (High confidence); route CA->CN; distance/cost retained for framework consistency. Sources: CEPII_GeoDist=https://www.cepii.fr/CEPII/en/publications/wp/abstract.asp?NoDoc=3877; SEA_DISTANCES=https://sea-distances.org/; UNCTAD_RMT_2025=https://unctad.org/publication/review-maritime-transport-2025; COST_LIT_MDPI_2022=https://www.mdpi.com/2071-1050/14/7/3987; MODE_CHOICE_LIT=https://link.springer.com/article/10.1186/s12544-019-0346-8
0,CA,JP,ocean,7700,0.0347,REE baseline reused for shared country pair (High confidence); route CA->JP; distance/cost retained for framework consistency. Sources: CEPII_GeoDist=https://www.cepii.fr/CEPII/en/publications/wp/abstract.asp?NoDoc=3877; SEA_DISTANCES=https://sea-distances.org/; UNCTAD_RMT_2025=https://unctad.org/publication/review-maritime-transport-2025; COST_LIT_MDPI_2022=https://www.mdpi.com/2071-1050/14/7/3987; MODE_CHOICE_LIT=https://link.springer.com/article/10.1186/s12544-019-0346-8
0,CA,KR,ocean,8000,0.041,"Ga-specific estimate (Medium confidence; Canadian Pacific export proxy to Busan, consistent with REE CA-JP baseline.). Cost is model-use estimate, not a spot freight quote; ocean unit cost calibrated to REE shipping_costs baseline and cross-checked against peer-reviewed modal cost literature. Sources: CEPII_GeoDist=https://www.cepii.fr/CEPII/en/publications/wp/abstract.asp?NoDoc=3877; SEA_DISTANCES=https://sea-distances.org/; UNCTAD_RMT_2025=https://unctad.org/publication/review-maritime-transport-2025; COST_LIT_MDPI_2022=https://www.mdpi.com/2071-1050/14/7/3987; MODE_CHOICE_LIT=https://link.springer.com/article/10.1186/s12544-019-0346-8"
