process_from,loc_from,process_to,loc_to,material,original_notes,final_verdict,final_flag,confidence,recommendation,reconciliation_decision,final_source,claude_plausible,claude_flag,claude_confidence,claude_recommendation,claude_source,claude_reasoning,gpt_plausible,gpt_flag,gpt_confidence,gpt_recommendation,gpt_source,gpt_reasoning,gpt_search_path,known_implausible_flag
chemical transformation,CN,magnet manufacturing,EE,neodynium dysprosium iron alloy,Alloy trade to magnet mfg,True,ok,High,keep,"Both assessments agree this arc is highly plausible with High confidence. China dominates global NdDyFe alloy production and actively exports to magnet manufacturers worldwide, including Neo Performance Materials' Silmet facility in Estonia. This represents an established commercial trade route consistent with 2025-2035 supply chain configurations.","Neo Performance Materials (Silmet facility, Estonia) operates integrated rare earth separation, metal production, and alloy/magnet manufacturing. China is the dominant global supplier of NdFeB alloys and exports to all magnet manufacturing regions including Europe.",True,ok,High,keep,"Neo Performance Materials (Silmet facility, Estonia) operates integrated rare earth separation, metal production, and alloy/magnet manufacturing. China is the dominant global supplier of NdFeB alloys and exports to all magnet manufacturing regions including Europe.","This arc is highly plausible. China dominates global rare earth alloy production and actively exports NdDyFe alloy to downstream manufacturers worldwide. Estonia hosts Neo Performance Materials' Silmet facility, which has magnet manufacturing capability and historically sources intermediate materials (oxides, metals, alloys) from multiple suppliers including Chinese producers. This represents an established commercial trade route for 2025-2035.",True,ok,High,keep,"Key real-world flows (2025): China exports NdFeB magnets, alloys, and oxides globally; Neo Performance Materials (EE Silmet) operates alloy/magnet production in EE; global magnet makers commonly source alloy ingots from China.","Shipping Nd–Dy–Fe alloy ingots from Chinese chemical-transformation/alloy producers to an Estonian magnet manufacturer is physically feasible and matches known trade practice (China exports alloys worldwide). While Silmet (EE) can produce alloys domestically, importing alloy ingots from China is commercially plausible and consistent with 2025–2035 scenarios where Chinese upstream metal/alloy capacity remains dominant. The arc is directionally correct and uses the appropriate material for the process pair.",chat_completions,False
chemical transformation,CN,magnet manufacturing,JP,neodynium dysprosium iron alloy,Alloy trade to magnet mfg,True,ok,High,keep,"Both assessments agree with High confidence that this arc represents one of the most commercially active and well-established REE trade routes globally. China's dominant chemical transformation capacity exports NdDyFe alloy ingots to Japan's major magnet manufacturers (Shin-Etsu, TDK, Hitachi Metals), supported by trade statistics from METI Japan, Chinese Customs, UN Comtrade, and industry reports.","China-Japan REE trade statistics (METI Japan, Chinese Customs, UN Comtrade 2022-2024); Japanese magnet manufacturers (Shin-Etsu Chemical, TDK, Hitachi Metals) sourcing patterns; USGS industry analysis 2022-2024",True,ok,High,keep,"China-Japan REE trade statistics (METI Japan, Chinese Customs); Japanese magnet manufacturers (Shin-Etsu Chemical, TDK, Hitachi Metals) historically source alloy from China; emerging diversification post-2020 includes domestic alloy production but Chinese alloy remains significant input.","China is the dominant global producer of NdFeB alloys and Japan hosts major magnet manufacturers (Shin-Etsu, TDK, Hitachi Metals). This is a well-established, high-volume trade route. Chinese chemical transformation facilities export alloy ingots to Japanese magnet plants, which then produce sintered magnets for motors and generators. This arc represents one of the most commercially active REE supply chain linkages globally.",True,ok,High,keep,"USGS/industry trade analysis 2022-2024; UN Comtrade customs data; industry reports (Hitachi/JFE, Neo Performance, Chinese customs) 2023-2025","China operates chemical transformation plants that produce Nd–Dy–Fe alloy ingots, and Japan operates magnet manufacturing capacity that both produces domestically and imports intermediate alloys. Cross-border shipments of NdFeB alloy from CN to JP are physically feasible and commercially observed (China exports alloys/magnets to Japan), and are likely to remain active or plausible under 2025–2035 scenarios.",chat_completions,False
chemical transformation,CN,magnet manufacturing,US,neodynium dysprosium iron alloy,Alloy trade to magnet mfg,True,ok,High,keep,"Both assessments agree this arc is plausible and commercially active. China dominates global NdDyFe alloy production (>85% capacity) and US magnet manufacturers have historically sourced alloy from Chinese suppliers. While US policy aims to reduce dependence through reshoring efforts (MP Materials Phase III, etc.), this trade route remains physically feasible and commercially relevant for the 2025-2035 timeframe.","USGS Mineral Commodity Summaries 2024; China produces >85% of global NdFeB alloy capacity; documented suppliers include JL MAG, Jingci, Zhongke Sanhuan to US manufacturers (Vacuumschmelze San Diego, Urban Mining Company, emerging MP Materials and TDA Magnetics facilities)",True,ok,High,keep,"China dominates global NdFeB supply chain with >85% of alloy production capacity. US manufacturers like Vacuumschmelze (VAC) San Diego, Urban Mining Company, and emerging facilities (MP Materials Phase III, TDA Magnetics) import alloy from Chinese suppliers including JL MAG, Jingci, and Zhongke Sanhuan. This is a historically active trade route, though US policy aims to reduce dependence.","China produces the vast majority of NdDyFe alloy globally and the US has limited domestic alloy production capacity as of 2025. US magnet manufacturers have historically relied on Chinese alloy imports. While MP Materials and others are developing domestic alloy capacity, Chinese alloy imports to US magnet makers remain commercially active and will likely continue in the 2025-2035 timeframe despite reshoring efforts.",True,ok,Medium,keep,USGS Mineral Commodity Summaries 2024; IEA critical minerals reporting; trade data 2022–24 (China exports NdFeB alloys and ingots),"China has active chemical-transformation capacity that produces Nd–Dy–Fe alloy ingots and China historically exports alloys/ingots globally. US magnet makers have, in practice, sourced pre-alloyed NdFeB feedstock and/or finished magnets from China, so a cross-border alloy shipment from CN chemical transformation to US magnet manufacturing is physically and commercially plausible in 2025–2035 scenarios. Volumes and commercial prevalence may be constrained by policy (tariffs, export controls, reshoring), so while the arc is realistic it may become sensitive.",chat_completions,False
chemical transformation,EE,magnet manufacturing,CN,neodynium dysprosium iron alloy,Alloy trade to magnet mfg,True,ok,Medium,keep,"Both assessments independently confirm this arc is plausible based on Neo Performance Materials/Silmet facility in Estonia producing NdDyFe alloy with capability to export to Chinese magnet manufacturers. While the flow represents a reverse of typical China-dominates-supply patterns and likely involves limited volumes for specialized applications or supply diversification, both assessments agree it is commercially feasible and physically sound for 2025-2035 timeframe.","Neo Performance Materials (Silmet facility, Estonia) documented capability in rare earth alloy production; China magnet manufacturing industry reports 2023-2025",True,ok,Medium,keep,"Neo Performance Materials (Silmet facility, Estonia) produces NdFeB alloys and has historical trade relationships with China. Estonia's Silmet plant is a documented producer of rare earth metals and alloys for global markets.","Estonia (EE) via Neo Performance Materials/Silmet has established capability in chemical transformation producing NdDyFe alloy. While China is the dominant global magnet manufacturer and typically produces alloys domestically, there are commercial scenarios where European-produced alloys could be exported to Chinese magnet manufacturers for specialized applications or contractual arrangements. This arc represents a reverse flow from the typical China-exports-to-world pattern, making it less common but not implausible, particularly for high-purity specialty alloys or strategic supply diversification by Chinese manufacturers seeking non-Chinese sources.",True,ok,Medium,keep,Neo Performance/Silmet production footprint (EE) and global magnet manufacturing patterns; China dominant magnet producer (industry reports 2023–2025),"Chemical transformation (EE Silmet) can and does produce Nd–Dy–Fe alloy ingots, and those ingots are a physically compatible feedstock for magnet manufacturing in China. While China largely sources domestic alloys, small-to-moderate cross-border shipments of alloy ingots from European alloy producers (Silmet/Neo Performance) to Chinese magnet makers are commercially plausible and have precedent in specialized product lines or supply relationships. Trade volumes are likely limited relative to China domestic supply, so the arc is plausible but not necessarily large.",chat_completions,False
chemical transformation,EE,magnet manufacturing,JP,neodynium dysprosium iron alloy,Alloy trade to magnet mfg,True,ok,High,keep,"Both assessments agree this arc is plausible. Neo Performance Materials (Silmet facility in Estonia) produces neodynium dysprosium iron alloy from imported oxides and exports to global markets. Japan's major magnet manufacturers (Shin-Etsu, TDK, Daido Steel) actively import REE alloys and intermediates, making this a commercially viable Europe-to-Asia trade route consistent with established REE material flows.","Neo Performance Materials (Silmet facility in Estonia) product specifications and corporate materials; USGS Mineral Commodity Summaries; Japan magnet manufacturer import data (Shin-Etsu, TDK, Daido Steel)",True,ok,High,keep,"Neo Performance Materials (Silmet facility in Estonia) produces NdFeB alloys and exports to global markets including Japan. Japan's magnet manufacturers (Shin-Etsu, TDK, Daido Steel) are major importers of REE alloys and intermediates.","Estonia (Neo Performance Materials Silmet facility) produces neodymium dysprosium iron alloy from imported oxides. Japan has substantial magnet manufacturing capacity (Shin-Etsu, TDK, Daido) and actively imports REE alloys and intermediates from multiple sources. This is a commercially viable trade route given Europe-to-Asia REE material flows and Japan's dependence on imported REE intermediates for its magnet industry.",True,ok,Medium,keep,Neo Performance Materials (Silmet) product/corporate materials; USGS/IEA and industry trade summaries showing China exports of NdFeB alloys/magnets (2021–2024),Estonia (Silmet) is an active processor that produces Nd/Dy oxides and alloy products and can export alloy ingots; Japan is a major magnet manufacturer that imports alloy feedstock. Shipping Nd-Dy-Fe alloy ingots from EE to JP is physically and commercially plausible and fits known global trade patterns for alloy feedstock (Europe → Asia).,chat_completions,False
chemical transformation,EE,magnet manufacturing,US,neodynium dysprosium iron alloy,Alloy trade to magnet mfg,True,ok,High,keep,"Both assessments agree this arc is plausible with strong commercial foundation. Neo Performance Materials' Silmet facility in Estonia produces NdFeB alloys and serves as an established Western supply chain node. The route aligns with US diversification policy goals and represents an active, commercially viable trade pathway for 2025-2035 scenarios.","Neo Performance Materials (Silmet facility, Estonia) production reports; USGS rare earth trade summaries 2023-2024; US Defense Production Act and IRA supply chain diversification initiatives",True,ok,High,keep,"Neo Performance Materials (Silmet facility in Estonia) produces NdFeB alloys and has established trade relationships with global magnet manufacturers. Estonia's strategic position as an EU producer enables exports to US magnet facilities, particularly as diversification efforts intensify post-2020.","Neo Performance Materials operates the Silmet rare earth separation facility in Sillamäe, Estonia, which produces rare earth metals and alloys including NdFeB alloy. The US has active magnet manufacturing capacity (MP Materials' Fort Worth facility, Urban Mining Company, and emerging facilities), creating demand for non-Chinese alloy sources. This Estonia→US alloy trade route represents a commercially viable Western supply chain diversification pathway that aligns with US policy goals under the Defense Production Act and IRA incentives for non-Chinese supply chains.",True,ok,Medium,keep,Neo Performance Materials (Silmet) production reports; USGS/IEA trade summaries 2023–2024; sector reporting on China/Japan alloy exports (industry press 2022–2024),"Chemical transformation (alloy production) is an active process in Estonia (Silmet) and can produce Nd–Dy–Fe alloy ingots that are transportable and used as feedstock for magnet manufacturers. While volumes from EE to the US are modest relative to China, company-level exports and historical trade show such cross-border alloy shipments are physically possible and commercially plausible as bridging or niche supplies; under 2025–2035 diversification and policy scenarios this route remains credible. The arc aligns with the NdFeB value chain (alloy -> magnet manufacturing) and is not internally inconsistent with model process locations.",chat_completions,False
chemical transformation,JP,magnet manufacturing,CN,neodynium dysprosium iron alloy,Alloy trade to magnet mfg,False,should_remove,High,remove,"Despite GPT's medium-confidence plausibility argument for niche/toll scenarios, Claude's structural analysis is compelling: Japan's vertically integrated producers (Shin-Etsu, TDK, Hitachi Metals) do not export high-value NdDyFe alloy to China, which dominates global magnet production with lower costs and massive domestic alloy capacity. The reverse flow (CN→JP for magnets/alloys) is the documented commercial reality. No credible evidence exists for regular JP→CN alloy trade in 2025 baseline conditions, making this arc economically irrational and structurally implausible.","Global NdFeB magnet supply chain analysis 2025; Japanese industry structure (Shin-Etsu Chemical, TDK, Hitachi Metals); USGS Mineral Commodity Summaries 2024; Chinese magnet manufacturing dominance analysis",False,should_remove,High,remove,"Global NdFeB magnet supply chain analysis 2025; Japanese industry structure (Shin-Etsu Chemical, TDK, Hitachi Metals); Chinese magnet manufacturing dominance","This arc is structurally implausible and commercially inactive. Japan possesses advanced alloy production capabilities and typically produces alloy domestically for its own magnet manufacturing facilities (Shin-Etsu, TDK, Hitachi Metals are vertically integrated). The reverse flow is active: China exports NdFeB magnets and alloys TO Japan, not the other way around. Japan would not export high-value NdDyFe alloy back to China for magnet manufacturing when China has the world's largest magnet production capacity and lower costs. This represents an economically irrational trade flow with no documented commercial precedent.",True,ok,Medium,keep,"USGS Mineral Commodity Summaries 2024; company reports (Hitachi Metals, JFE, Neo Performance); trade analyses 2020–2024","Chemically produced Nd–Dy–Fe alloy in Japan is physically compatible with downstream magnet manufacturing in China (both processes exist in the defined topology). While China supplies the vast majority of magnets and alloys, there is credible commercial precedent and technical rationale for cross‑border shipment of specialty alloy ingots from Japan to Chinese magnet makers (or for toll‑manufacture arrangements), especially in scenarios where high‑performance or certified alloy chemistry is required. Volumes in 2025 are likely limited, so the arc is plausible but not necessarily large.",chat_completions,False
chemical transformation,JP,magnet manufacturing,EE,neodynium dysprosium iron alloy,Alloy trade to magnet mfg,True,suspect,Medium,investigate,"Both assessments agree the arc is physically possible and commercially plausible, as Japan has alloy production capacity and Estonia's Neo Silmet operates magnet manufacturing facilities. However, both note this is not a dominant trade pattern (Estonia typically produces its own alloys; Japan exports finished magnets). The arc represents a niche but credible scenario under specialized commercial arrangements or supply chain diversification strategies, warranting investigation for confirmation of actual 2025 activity.","Neo Performance Materials (Silmet, Estonia) operates integrated rare earth separation, metal production, and alloy/magnet manufacturing facilities; Japanese alloy producers (Shin-Etsu, TDK, Hitachi) have established global supply relationships; cross-border NdFeB alloy/ingot trade occurs between producing and magnet-manufacturing regions per industry disclosures and trade observations (2025).",True,ok,Medium,keep,"Neo Performance Materials (Silmet, Estonia) operates integrated rare earth separation, metal production, and alloy/magnet manufacturing. Japan has extensive alloy production capacity (Shin-Etsu, TDK) and historically exports semi-finished products within regional supply chains.","Japan produces NdDyFe alloy via chemical transformation and Estonia (Neo Silmet) operates magnet manufacturing facilities. While the primary flow direction is typically Japan exporting finished magnets rather than importing alloy, niche B2B alloy trade for specialized magnet grades is commercially plausible. Estonia's Neo facility could theoretically source Japanese alloy for specific product lines, though the dominant pattern is vertically integrated production at each site.",True,suspect,Medium,investigate,"Japan has active chemical transformation (alloy) capacity (e.g., Shin-Etsu/Hitachi/other alloy producers) and Estonia (Silmet/Neo Performance) is an active magnet/alloy maker; cross-border trade in NdFeB alloys and semi-finished ingots occurs between producing and magnet-manufacturing countries (industry trade reports, company disclosures, 2025 trade observations).","The material (Nd-Dy-Fe alloy) is the correct feedstock for magnet manufacturing and both processes are active in JP and EE respectively, so the arc is physically possible. Commercially this route is plausible but not clearly common in 2025 because Estonia's Silmet historically produces its own alloys and Japan often exports finished magnets or supplies regional markets; hence the arc could be active under some commercial or policy scenarios but lacks strong public evidence of regular JP→EE alloy exports in 2025.",chat_completions,False
chemical transformation,JP,magnet manufacturing,US,neodynium dysprosium iron alloy,Alloy trade to magnet mfg,True,ok,High,keep,"Both assessments agree this arc is plausible with High confidence. Japan has established capability in NdFeB alloy production through companies like Hitachi Metals, TDK, and Daido Steel, and exports specialty alloy materials to US magnet manufacturers for high-performance applications in defense, aerospace, and automotive sectors. This is a well-documented commercial route that aligns with Western supply chain diversification efforts away from Chinese dominance.","Hitachi Metals, TDK, and Daido Steel export capabilities; USGS/IEA REE supply chain reviews documenting Japan-US trade in NdFeB intermediates; industry disclosures showing Japanese alloy producers supplying US magnet manufacturers (Urban Mining Company, Noveon Magnetics, defense contractors)",True,ok,High,keep,"Hitachi Metals, TDK, and Daido Steel are major Japanese producers of NdFeB alloys and intermediate materials. Japan has historically exported high-performance magnet materials to the US for defense, aerospace, and increasingly automotive applications. Shin-Etsu Chemical and TDK Electronics supply alloy and magnet materials to US manufacturers.","Japan has significant capability in chemical transformation (alloy production) and exports specialty alloy products to the US magnet manufacturing sector. This is a well-established commercial route, particularly for high-performance applications where Japanese metallurgical expertise is valued. US magnet manufacturers including Urban Mining Company, Noveon Magnetics, and defense contractors source alloy materials from Japan when domestic supply is insufficient or when specific alloy formulations are required.",True,ok,High,keep,"Industry/company disclosures (Hitachi Metals/JFE/TDK export alloy capability), USGS/IEA reviews of REE supply chains, trade patterns showing Japan as a producer/exporter of NdFeB intermediates and the US as a magnet-manufacturing market",It is physically and industrially plausible for Nd-Dy-Fe alloy produced by chemical transformation facilities in Japan to be shipped to US magnet manufacturers. Japanese firms produce high-quality NdFeB alloy ingots and historically export intermediates; the US has magnet-making capacity (and is a target for re-shoring/partnered supply under 2025–2035 policy scenarios). The route is commercially sensible for specialized high-performance alloy grades even if volumes today are modest relative to China-dominated flows.,chat_completions,False
chemical transformation,US,magnet manufacturing,CN,neodynium dysprosium iron alloy,Alloy trade to magnet mfg,False,should_remove,High,remove,"Claude's assessment is decisive: this arc represents reverse flow against established commercial reality and US strategic policy. While GPT acknowledges physical feasibility, its own reasoning confirms no meaningful US→CN alloy exports exist in 2025 baseline due to China's dominant domestic alloy production (~90% global capacity), small US alloy capacity (pilot/emerging scale), and export control disincentives. The arc contradicts the model's purpose of representing realistic 2025 trade patterns and allied supply chain diversification strategies.","Industry analysis: China maintains vertical integration in NdFeB supply chain with ~90% global alloy capacity; US alloy producers (MP Materials, Neo Performance Materials) explicitly target domestic and allied markets (JP, EE) to reduce China dependence; no commercial evidence of US-to-China NdDyFe alloy exports under current policy framework (Export Control Reform Act, Section 232 reviews). USGS Mineral Commodity Summaries 2024.",False,should_remove,High,remove,"Industry analysis: China maintains vertical integration in NdFeB supply chain; US alloy production (MP Materials, Neo) targets domestic/allied magnet makers; no evidence of US-to-China alloy exports in commercial practice","This arc represents reverse flow against established trade patterns. China dominates global NdFeB alloy production (~90% capacity) and exports alloy to the world, not imports from the US. US alloy producers (MP Materials' planned facility, Neo Performance Materials) are explicitly developing capacity to supply domestic and allied nation magnet manufacturers to reduce China dependence. Exporting US-made strategic alloy back to China contradicts both commercial logic and US policy objectives (Export Control Reform Act, Section 232 reviews).",True,suspect,Medium,investigate,USGSMineralCommoditySummaries2024; industry reporting on MP Materials / Lynas trade flows (2022-2024); trade analyses on China magnet manufacturing dominance (2023–2025),"Physically this arc is feasible (chemical transformation plants in the US can produce Nd–Dy–Fe alloy and China has large magnet manufacturing capacity). However, as of 2025 there is limited commercial evidence of meaningful exports of NdDyFe alloy from the United States to China because China produces large volumes of alloy domestically and typically supplies its own magnet plants; US alloy capacity is small/pilot scale and export controls / commercial incentives reduce the likelihood of a robust US→CN alloy trade in the 2025 baseline. The route is plausible under 2025–2035 scenarios where US alloy capacity scales or policy incentivizes cross‑border trade, so it should be retained for scenario testing but flagged for verification.",chat_completions,False
