candidate_activity,reference_product,location,uuid,does_include_mining,does_include_concentration,can_separate_mining_and_concentration,recommended_assignment,notes
bulk lead-zinc concentrate to generic markets for zinc concentrate and lead concentrate,lead concentrate,GLO,26d4b89c60802cc00611867e1265e1c0,False,True,False,Not selected for baseline; not a separate generic zinc concentration-only dataset.,Targeted local Brightway/premise zinc search. No exact separate zinc concentration-only baseline dataset was found; keep Zinc concentration as zero-burden placeholder unless a source-supported split is added as sensitivity.
bulk lead-zinc concentrate to generic markets for zinc concentrate and lead concentrate,zinc concentrate,GLO,716901fc8e6eb9f97666275b8243e392,False,True,False,Candidate produces zinc concentrate but is not a separate generic concentration-only dataset; not selected for baseline.,Targeted local Brightway/premise zinc search. No exact separate zinc concentration-only baseline dataset was found; keep Zinc concentration as zero-burden placeholder unless a source-supported split is added as sensitivity.
gold-silver mine operation and beneficiation,zinc concentrate,CA-QC,3bf05646c9a99eb5d4448b76c30d220a,True,True,False,Combined mining/beneficiation co-product candidate; not selected over generic ZS mining proxy.,Targeted local Brightway/premise zinc search. No exact separate zinc concentration-only baseline dataset was found; keep Zinc concentration as zero-burden placeholder unless a source-supported split is added as sensitivity.
market for bulk lead-zinc concentrate,bulk lead-zinc concentrate,GLO,459b809895693f083cf4b0b69f999b86,False,True,False,Not selected for baseline; not a separate generic zinc concentration-only dataset.,Targeted local Brightway/premise zinc search. No exact separate zinc concentration-only baseline dataset was found; keep Zinc concentration as zero-burden placeholder unless a source-supported split is added as sensitivity.
market for zinc concentrate,zinc concentrate,GLO,7488c96ab3eb37e7e45b5db353b64552,True,True,False,Alternative combined zinc concentrate market; do not assign to both ZS mining and Zinc concentration.,Targeted local Brightway/premise zinc search. No exact separate zinc concentration-only baseline dataset was found; keep Zinc concentration as zero-burden placeholder unless a source-supported split is added as sensitivity.
metalliferous hydroxide sludge to market for zinc concentrate,zinc concentrate,GLO,c994ce744c109e303838fcc6621afb5e,True,True,False,Candidate produces zinc concentrate but is not a separate generic concentration-only dataset; not selected for baseline.,Targeted local Brightway/premise zinc search. No exact separate zinc concentration-only baseline dataset was found; keep Zinc concentration as zero-burden placeholder unless a source-supported split is added as sensitivity.
silver mine operation with extraction,zinc concentrate,PE,7fbdbb24055eb29d91f4449c524c2947,True,True,False,Combined mining/beneficiation co-product candidate; not selected over generic ZS mining proxy.,Targeted local Brightway/premise zinc search. No exact separate zinc concentration-only baseline dataset was found; keep Zinc concentration as zero-burden placeholder unless a source-supported split is added as sensitivity.
zinc mine operation,bulk lead-zinc concentrate,GLO,99c299f02215ebc427a8ad815efa113d,True,True,False,Not selected for baseline; not a separate generic zinc concentration-only dataset.,Targeted local Brightway/premise zinc search. No exact separate zinc concentration-only baseline dataset was found; keep Zinc concentration as zero-burden placeholder unless a source-supported split is added as sensitivity.
zinc mine operation,"copper concentrate, sulfide ore",GLO,05db5556bada566a89299717c00a2c4e,True,False,False,Not selected for baseline; not a separate generic zinc concentration-only dataset.,Targeted local Brightway/premise zinc search. No exact separate zinc concentration-only baseline dataset was found; keep Zinc concentration as zero-burden placeholder unless a source-supported split is added as sensitivity.
zinc mine operation,"gold, unrefined",GLO,be1b426e6f281cf7fd8d4f43c484e21b,True,False,False,Not selected for baseline; not a separate generic zinc concentration-only dataset.,Targeted local Brightway/premise zinc search. No exact separate zinc concentration-only baseline dataset was found; keep Zinc concentration as zero-burden placeholder unless a source-supported split is added as sensitivity.
zinc mine operation,lead concentrate,GLO,f75cb7bcf25dc286b480c869e2f32a1c,True,False,False,Not selected for baseline; not a separate generic zinc concentration-only dataset.,Targeted local Brightway/premise zinc search. No exact separate zinc concentration-only baseline dataset was found; keep Zinc concentration as zero-burden placeholder unless a source-supported split is added as sensitivity.
zinc mine operation,lime,GLO,8053c5b622df53d5b839dfff702ffff2,True,False,False,Not selected for baseline; not a separate generic zinc concentration-only dataset.,Targeted local Brightway/premise zinc search. No exact separate zinc concentration-only baseline dataset was found; keep Zinc concentration as zero-burden placeholder unless a source-supported split is added as sensitivity.
zinc mine operation,"quicklime, milled, loose",GLO,79d42e5eb9b5f159cc2ddc5b2030a441,True,False,False,Not selected for baseline; not a separate generic zinc concentration-only dataset.,Targeted local Brightway/premise zinc search. No exact separate zinc concentration-only baseline dataset was found; keep Zinc concentration as zero-burden placeholder unless a source-supported split is added as sensitivity.
zinc mine operation,sand,GLO,7a8b45f1d2bded7c77cddbc94da62a63,True,False,False,Not selected for baseline; not a separate generic zinc concentration-only dataset.,Targeted local Brightway/premise zinc search. No exact separate zinc concentration-only baseline dataset was found; keep Zinc concentration as zero-burden placeholder unless a source-supported split is added as sensitivity.
zinc mine operation,zinc concentrate,GLO,e227aa0a1916bc60f28d34228b2f2672,True,True,False,Use for ZS mining only as combined zinc concentrate proxy; keep Zinc concentration zero to avoid double counting.,Targeted local Brightway/premise zinc search. No exact separate zinc concentration-only baseline dataset was found; keep Zinc concentration as zero-burden placeholder unless a source-supported split is added as sensitivity.
